topicCreator,topicId,topicTitle,topicSlug,topicPostCount,topicReplyCount,topicViewCount,topicLikeCount,topicCategoryId,topicTags,topicCreated,topicLatest,topicPinned,topicVisible,topicClosed,topicVisible.1,topicArchieved,topicHasAcceptedAnswer
Arbitrum,13360,"Proposal: AIP-1.1 - Lockup, Budget, Transparency",proposal-aip-1-1-lockup-budget-transparency,90,24,19242,479,9,,2023-04-05T19:34:51.689Z,2023-06-21T11:54:12.552Z,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
Arbitrum,14301,The Constitution of the Arbitrum DAO,the-constitution-of-the-arbitrum-dao,1,0,1214,12,10,,2023-05-04T01:20:06.642Z,2023-05-04T01:20:06.687Z,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
Arbitrum,30,AIP-1: Arbitrum Improvement Proposal Framework,aip-1-arbitrum-improvement-proposal-framework,110,60,30050,693,9,"snapshot, failed",2023-03-15T14:56:58.485Z,2023-04-17T14:14:37.813Z,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
Arbitrum,13494,How to submit a DAO Proposal,how-to-submit-a-dao-proposal,2,0,2238,20,10,,2023-04-06T20:13:21.583Z,2023-04-06T20:13:21.643Z,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
Arbitrum,12807,Community Guidlines,community-guidlines,4,0,1668,17,10,,2023-04-01T19:41:45.830Z,2023-04-01T19:41:45.892Z,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
DisruptionJoe,20298,Bringing Native Assets to Arbitrum,bringing-native-assets-to-arbitrum,5,2,186,10,4,,2023-12-28T20:28:23.692Z,2024-01-04T03:38:46.282Z,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
DisruptionJoe,20207,Questions about Plurality Labs Milestone 2,questions-about-plurality-labs-milestone-2,6,4,355,28,4,,2023-12-20T18:02:50.483Z,2023-12-21T19:18:31.389Z,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
DisruptionJoe,20198,Plurality Labs Milestone 1 Review,plurality-labs-milestone-1-review,1,0,327,6,16,,2023-12-20T12:58:55.460Z,2023-12-21T12:29:27.066Z,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
DisruptionJoe,18757,Plurality Labs Program Selections,plurality-labs-program-selections,12,6,1495,49,16,,2023-10-12T07:20:24.274Z,2023-11-28T16:29:12.487Z,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
DisruptionJoe,18456,RFP - Abitrum Short-Term Incentive Program (STIP) Data Monitoring and Reporting,rfp-abitrum-short-term-incentive-program-stip-data-monitoring-and-reporting,24,7,2422,99,19,pl-data-monitoring,2023-10-08T14:29:35.062Z,2023-11-05T20:12:46.327Z,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
DisruptionJoe,19130,"ThankARB: A Strategy, Framework, & Platform for Arbitrum’s Success",thankarb-a-strategy-framework-platform-for-arbitrum-s-success,1,0,1324,11,4,,2023-10-24T18:00:09.155Z,2023-11-03T22:04:08.530Z,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
DisruptionJoe,15895,Exciting News from Plurality Labs,exciting-news-from-plurality-labs,7,0,921,50,4,,2023-08-16T12:24:44.074Z,2023-10-01T15:03:13.162Z,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
DisruptionJoe,16223,Proposal: [Non-constitutional] Allow the PL-ARB Grants Safety Multisig to trade ARB for sequencer fee ETH,proposal-non-constitutional-allow-the-pl-arb-grants-safety-multisig-to-trade-arb-for-sequencer-fee-eth,7,1,2502,28,7,,2023-09-07T18:46:21.485Z,2023-09-13T09:49:51.373Z,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
DisruptionJoe,16235,Gitcoin Grants Stack and Allo protocol now available on Arbitrum!,gitcoin-grants-stack-and-allo-protocol-now-available-on-arbitrum,2,0,238,15,4,governance,2023-09-08T17:12:53.863Z,2023-09-09T13:11:43.471Z,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
DisruptionJoe,14976,AIP - 3 [Non-Constitutional] Fund the Arbitrum Grants Framework Proposal Milestone 1,aip-3-non-constitutional-fund-the-arbitrum-grants-framework-proposal-milestone-1,55,25,6224,296,8,"proposal, governance, aip, snapshot, active",2023-06-20T16:22:36.183Z,2023-08-18T11:53:03.107Z,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
DisruptionJoe,15403,Grants Frameworks vs Programs vs Allocation Methods,grants-frameworks-vs-programs-vs-allocation-methods,6,0,947,31,4,governance,2023-07-12T03:23:55.142Z,2023-08-03T11:34:46.520Z,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
DisruptionJoe,14730,[Request for Comment - Draft Proposal] Building a Pluralist Grants Framework - Milestone 1,request-for-comment-draft-proposal-building-a-pluralist-grants-framework-milestone-1,36,19,2998,239,7,"proposal, governance",2023-06-02T17:16:39.273Z,2023-06-20T16:34:24.316Z,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
DisruptionJoe,14560,Grants Framework VOTING is live for the top 100 delegates!,grants-framework-voting-is-live-for-the-top-100-delegates,10,5,1882,62,4,,2023-05-16T14:13:18.283Z,2023-06-16T13:28:57.781Z,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
DisruptionJoe,13818,Grants Funding Framework Discussion - How To Excel at Being a DAO,grants-funding-framework-discussion-how-to-excel-at-being-a-dao,15,3,3722,131,6,"delegation, best-practice",2023-04-13T03:39:51.772Z,2023-05-23T10:01:33.182Z,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
DisruptionJoe,14026,Grant Framework Design Contest! Submissions live until 5/13,grant-framework-design-contest-submissions-live-until-5-13,16,7,2050,103,6,,2023-04-20T18:51:57.614Z,2023-05-17T11:37:27.588Z,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
Matt_StableLab,20329,LTI Pilot Program Position Application Thread,lti-pilot-program-position-application-thread,5,0,278,13,16,,2023-12-31T03:39:03.298Z,2024-01-04T05:46:34.137Z,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
Matt_StableLab,20223,Long Term Incentives Pilot Program,long-term-incentives-pilot-program,20,4,1138,114,7,,2023-12-22T03:46:32.483Z,2024-01-04T03:11:26.967Z,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
Matt_StableLab,13942,StableLab Delegate Thread,stablelab-delegate-thread,6,0,1483,21,6,,2023-04-17T10:13:27.993Z,2023-12-31T01:45:05.977Z,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
Matt_StableLab,20267,STIP Backfund Stream Updates,stip-backfund-stream-updates,1,0,185,6,16,,2023-12-26T08:20:38.659Z,2023-12-26T08:20:38.717Z,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
Matt_StableLab,19819,Timeline Extension for STIP and Backfund Grantees,timeline-extension-for-stip-and-backfund-grantees,15,5,3548,66,7,,2023-11-30T03:06:19.358Z,2023-12-08T15:03:16.903Z,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
Matt_StableLab,19337,STIP Funding Stream Updates,stip-funding-stream-updates,15,6,1561,48,16,,2023-11-04T00:13:48.280Z,2023-11-29T14:37:10.142Z,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
Matt_StableLab,19436,STIP Bi-Weekly Update Template,stip-bi-weekly-update-template,4,0,753,7,22,,2023-11-08T16:20:22.788Z,2023-11-22T18:45:24.527Z,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
Matt_StableLab,18725,STIP - Round 1: Voting Period Update,stip-round-1-voting-period-update,10,3,1343,24,14,,2023-10-11T14:53:32.050Z,2023-10-19T01:55:16.770Z,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
Matt_StableLab,18884,STIP Grant Recipients Update,stip-grant-recipients-update,1,0,2237,19,16,,2023-10-13T23:34:20.992Z,2023-10-13T23:34:21.048Z,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
Matt_StableLab,17523,STIP - Round 1: Application Period Update,stip-round-1-application-period-update,23,15,3070,71,14,,2023-09-28T02:11:11.529Z,2023-10-12T15:32:06.883Z,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
Matt_StableLab,17824,Short-Term Incentive Grants Pitching Sessions,short-term-incentive-grants-pitching-sessions,55,2,4279,109,14,,2023-09-29T13:05:29.219Z,2023-10-10T05:27:49.125Z,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
cattin,19467,Proposal: Experimental Incentive System for Active ArbitrumDAO Delegates,proposal-experimental-incentive-system-for-active-arbitrumdao-delegates,44,14,4965,239,7,,2023-11-10T04:43:56.652Z,2024-01-02T18:55:43.637Z,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
cattin,19816,"[DRAFT] Introduction, selection, and guidelines for the Governance Facilitator role",draft-introduction-selection-and-guidelines-for-the-governance-facilitator-role,5,0,2400,29,7,,2023-11-30T01:35:30.705Z,2023-12-06T00:29:05.536Z,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
cattin,13895,SEED Latam Delegate Communication Thread,seed-latam-delegate-communication-thread,29,7,3918,171,6,delegation,2023-04-15T16:05:43.681Z,2023-12-04T21:27:16.706Z,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
cattin,16501,[DRAFT] Experimental Incentive System for Active ArbitrumDAO Delegates,draft-experimental-incentive-system-for-active-arbitrumdao-delegates,11,4,3377,71,7,,2023-09-19T00:18:26.886Z,2023-09-29T01:06:31.074Z,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
cattin,15720,[RFC-2] Delegate Incentive System for ArbitrumDAO,rfc-2-delegate-incentive-system-for-arbitrumdao,12,3,3971,119,7,,2023-08-03T19:50:32.326Z,2023-09-21T15:39:14.187Z,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
cattin,15716,[RFC-3] Introduction of a new role in governance - Governance Facilitator,rfc-3-introduction-of-a-new-role-in-governance-governance-facilitator,7,1,967,53,7,,2023-08-03T19:50:06.376Z,2023-09-13T03:35:01.084Z,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
cattin,15941,Proposal: Time Management in Arbitrum’s Governance,proposal-time-management-in-arbitrum-s-governance,9,2,2110,34,7,,2023-08-19T22:30:53.905Z,2023-09-07T02:24:26.718Z,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
cattin,15719,[RFC-0] Comprehensive Proposal for Modifications in ArbitrumDAO's Governance Infrastructure,rfc-0-comprehensive-proposal-for-modifications-in-arbitrumdaos-governance-infrastructure,2,0,816,25,7,,2023-08-03T19:50:22.444Z,2023-08-09T07:55:13.424Z,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
cattin,15718,[RFC-1] Time Management in ArbitrumDAO Governance,rfc-1-time-management-in-arbitrumdao-governance,4,1,621,24,7,,2023-08-03T19:50:15.316Z,2023-08-07T03:28:24.232Z,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
krst,15979,L2BEAT Delegate Communication Thread,l2beat-delegate-communication-thread,4,0,823,16,6,,2023-08-23T00:53:59.154Z,2023-12-20T11:37:15.359Z,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
krst,19077,Reflections on the Short-Term Incentive Program,reflections-on-the-short-term-incentive-program,4,0,649,27,11,,2023-10-20T19:00:27.400Z,2023-10-23T03:15:47.820Z,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
krst,16666,Security Council Elections Round 1 voting rationale,security-council-elections-round-1-voting-rationale,3,0,497,13,12,,2023-09-21T17:56:04.605Z,2023-10-11T11:58:47.419Z,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
krst,17651,Followups after #6 Arbitrum Open Governance Call,followups-after-6-arbitrum-open-governance-call,1,0,239,5,6,,2023-09-28T12:09:26.056Z,2023-09-28T12:09:26.127Z,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
krst,16401,#6 Arbitrum Open Governance Call (20.09.2023),6-arbitrum-open-governance-call-20-09-2023,6,0,674,25,6,,2023-09-15T14:09:37.406Z,2023-09-25T13:14:24.241Z,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
krst,15971,#5 Arbitrum Open Governance Call (23.08.2023),5-arbitrum-open-governance-call-23-08-2023,8,2,747,39,6,,2023-08-22T09:19:25.134Z,2023-09-01T09:46:51.357Z,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
krst,15559,#4 Arbitrum Open Governance Call (26.07.2023),4-arbitrum-open-governance-call-26-07-2023,8,2,1151,44,6,,2023-07-24T14:54:34.283Z,2023-07-31T21:44:02.513Z,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
krst,15097,#3 Arbitrum Open Governance Call (28.06.2023),3-arbitrum-open-governance-call-28-06-2023,7,3,795,37,6,,2023-06-28T11:29:05.871Z,2023-07-01T16:19:05.299Z,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
krst,14692,#2 Arbitrum Open Governance Call (31.05.2023),2-arbitrum-open-governance-call-31-05-2023,18,4,1502,89,6,community-engagement,2023-05-30T14:41:47.276Z,2023-07-01T16:18:18.750Z,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
tnorm,15843,Arbitrum Incentives Program - Working Group,arbitrum-incentives-program-working-group,27,11,3219,132,16,,2023-08-12T22:15:50.958Z,2023-12-18T16:58:24.116Z,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
tnorm,16131,Arbitrum's Short-Term Incentive Program (Arbitrum Improvement Proposal),arbitrums-short-term-incentive-program-arbitrum-improvement-proposal,136,56,25187,618,7,aip,2023-09-02T14:02:45.865Z,2023-12-14T07:06:31.316Z,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
tnorm,19817,Discussion: Reframing Incentives on Arbitrum,discussion-reframing-incentives-on-arbitrum,3,0,597,30,11,,2023-11-30T01:35:41.470Z,2023-12-04T18:37:02.892Z,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
tnorm,16545,How to Apply - Arbitrum Short Term Incentives Program,how-to-apply-arbitrum-short-term-incentives-program,43,28,4792,115,14,,2023-09-20T05:14:39.413Z,2023-11-07T11:25:44.020Z,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
tnorm,16544,STIP Application Template,stip-application-template,7,0,2304,21,14,,2023-09-20T04:52:33.568Z,2023-10-12T01:41:32.557Z,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
tnorm,14272,Request for Discussion: Arbitrum Foundation Transparency Standards,request-for-discussion-arbitrum-foundation-transparency-standards,2,0,1347,32,6,,2023-05-02T15:14:39.651Z,2023-05-15T17:43:51.865Z,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
stonecoldpat,19306,Arbitrum DAO Sessions at Devconnect,arbitrum-dao-sessions-at-devconnect,8,1,1038,23,4,,2023-11-02T22:35:21.165Z,2023-11-08T17:36:19.404Z,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
stonecoldpat,15758,"Request for Feedback: When, and How, Should the Arbitrum Foundation Issue a Licence for the Arbitrum Technology Stack to a New Strategic Partner",request-for-feedback-when-and-how-should-the-arbitrum-foundation-issue-a-licence-for-the-arbitrum-technology-stack-to-a-new-strategic-partner,9,4,3293,48,7,,2023-08-07T17:04:39.741Z,2023-10-24T03:51:20.810Z,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
stonecoldpat,12864,Clarity around the ratification of AIP-1,clarity-around-the-ratification-of-aip-1,48,13,22675,230,7,,2023-04-02T08:38:56.709Z,2023-04-13T10:04:37.814Z,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
dk3,19867,Premia Bi-Weekly Update #3: 2023-12-30,premia-bi-weekly-update-3-2023-12-30,3,1,357,6,22,,2023-12-02T03:02:47.955Z,2023-12-31T00:26:44.470Z,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
dk3,19328,[PROPOSAL] - Procurement Framework | Security : Non-Constitutional Proposal (Prev RFP),proposal-procurement-framework-security-non-constitutional-proposal-prev-rfp,26,1,4957,112,7,,2023-11-03T15:42:59.798Z,2023-12-02T17:06:22.724Z,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
dk3,17504,[Premia] [FINAL] [STIP - Round 1],premia-final-stip-round-1,24,5,2305,51,14,,2023-09-28T01:19:14.996Z,2023-10-31T23:26:23.689Z,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
dk3,19101,[Proposal] - Grants: SpecOps Roundtable,proposal-grants-specops-roundtable,12,4,1045,41,11,"proposal, aip",2023-10-23T03:18:07.159Z,2023-10-31T05:37:16.507Z,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
Welly,11477,Proposal: Return funds to arb users who sent their airdrop tokens to the contract address,proposal-return-funds-to-arb-users-who-sent-their-airdrop-tokens-to-the-contract-address,533,270,21594,2005,7,,2023-03-24T13:14:14.877Z,2023-11-18T06:35:53.831Z,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
BlockworksResearch,19145,Proposal: The Arbitrum Coalition,proposal-the-arbitrum-coalition,69,29,9056,469,7,,2023-10-25T14:24:02.507Z,2023-12-14T08:22:00.675Z,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
Saurabh,19626,GMX Bi-Weekly Update [17/11/2023],gmx-bi-weekly-update-17-11-2023,4,0,558,9,22,,2023-11-17T16:46:54.778Z,2023-12-29T15:31:45.116Z,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
Saurabh,15759,Arbitrum DAO Grants Domain Allocator Nominations,arbitrum-dao-grants-domain-allocator-nominations,82,34,7977,480,11,,2023-08-07T17:47:30.157Z,2023-12-28T18:58:54.400Z,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
Saurabh,19448,GMX STIP Program Updates,gmx-stip-program-updates,1,0,551,11,22,,2023-11-08T21:52:08.926Z,2023-11-08T21:52:29.189Z,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
Saurabh,14688,Delegated Domain Allocation by Questbook - Arbitrum DAO Grants,delegated-domain-allocation-by-questbook-arbitrum-dao-grants,66,33,7858,401,7,,2023-05-29T18:08:18.033Z,2023-08-07T22:29:52.578Z,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
Saurabh,14081,Delegated Domain Allocation by Questbook,delegated-domain-allocation-by-questbook,6,2,2231,41,6,,2023-04-24T11:06:28.895Z,2023-05-12T07:41:24.452Z,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
jengajojo,19653,Proposal: BanklessDAO's Global Education and Onboarding Campaign for Arbitrum,proposal-banklessdaos-global-education-and-onboarding-campaign-for-arbitrum,22,6,5051,158,7,proposal,2023-11-20T15:13:46.963Z,2023-12-02T20:10:13.806Z,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
jengajojo,15071,[Discussion] Service Provider Framework,discussion-service-provider-framework,3,0,987,15,6,,2023-06-26T09:09:29.399Z,2023-07-03T10:10:56.018Z,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
jengajojo,14926,Proposal: Temp check - Mission of the Arbitrum DAO [Constitutional],proposal-temp-check-mission-of-the-arbitrum-dao-constitutional,3,0,1076,23,7,"proposal, governance, aip",2023-06-15T16:56:09.003Z,2023-06-18T05:00:38.186Z,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
Frisson,20116,Tally Bi-Weekly Update (15.12.2023),tally-bi-weekly-update-15-12-2023,1,0,180,2,22,,2023-12-15T23:43:31.092Z,2023-12-15T23:43:31.153Z,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
Frisson,17557,[Tally] [FINAL] [STIP - Round 1],tally-final-stip-round-1,22,8,1795,28,14,,2023-09-28T03:29:34.318Z,2023-10-12T17:11:40.055Z,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
Frisson,13871,Replicating Arbitrum DAO Best Practices in the Ecosystem,replicating-arbitrum-dao-best-practices-in-the-ecosystem,6,0,1196,57,4,,2023-04-14T18:36:07.402Z,2023-05-15T10:54:54.414Z,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
coinflip,15779,Arbitrum Now: a pragmatic approach for the Moment,arbitrum-now-a-pragmatic-approach-for-the-moment,58,26,5657,633,7,"proposal, governance",2023-08-09T16:18:36.412Z,2024-01-03T21:06:21.794Z,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
coinflip,17426,[GMX] [FINAL] [STIP - Round 1],gmx-final-stip-round-1,174,76,15448,874,14,,2023-09-27T20:29:58.039Z,2023-10-22T02:21:53.371Z,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
ITUblockchain,17027,[RFC] Reallocate unclaimed airdrop tokens for future incentives,rfc-reallocate-unclaimed-airdrop-tokens-for-future-incentives,15,4,3184,55,7,,2023-09-25T22:45:05.781Z,2023-11-29T21:10:31.538Z,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
Oxytocin,18700,Oxytocin - Delegate Communication,oxytocin-delegate-communication,1,0,385,3,6,,2023-10-11T09:50:46.914Z,2023-10-11T09:50:46.959Z,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
thedevanshmehta,20139,Proposal: Arbitrum Stable Treasury Endowment Program,proposal-arbitrum-stable-treasury-endowment-program,31,18,3404,141,7,,2023-12-17T09:08:50.041Z,2024-01-04T03:36:29.412Z,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
thedevanshmehta,20271,Should proposals only be in the form of frameworks?,should-proposals-only-be-in-the-form-of-frameworks,1,0,142,8,6,,2023-12-26T12:32:57.093Z,2023-12-26T12:32:57.149Z,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
thedevanshmehta,18978,Arbitrum Treasury and Sustainability - Working Group,arbitrum-treasury-and-sustainability-working-group,14,2,2101,68,16,"governance, delegation, pl-data-monitoring",2023-10-16T18:11:36.637Z,2023-12-22T09:09:11.075Z,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
JoJo,17639,Clarification - Assignment rules for STIP due requests exceeding budget,clarification-assignment-rules-for-stip-due-requests-exceeding-budget,1,0,365,8,11,,2023-09-28T11:11:39.891Z,2023-09-28T12:02:45.568Z,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
gauntlet,18614,Gauntlet USDC.e Migration Risk Dashboard,gauntlet-usdc-e-migration-risk-dashboard,1,0,399,3,4,,2023-10-10T18:44:02.779Z,2023-10-10T18:44:02.836Z,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
gauntlet,15986,Gauntlet's USDC.e Initial Migration Report,gauntlets-usdc-e-initial-migration-report,5,2,2980,37,4,,2023-08-23T18:10:36.689Z,2023-09-15T23:30:57.163Z,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
gauntlet,14322,Gauntlet’s Risk Updates on Arbitrum,gauntlet-s-risk-updates-on-arbitrum,5,0,1170,35,4,,2023-05-05T18:53:10.372Z,2023-06-12T16:10:46.351Z,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
GFXlabs,13794,GFX Labs Delegate Communication Thread,gfx-labs-delegate-communication-thread,27,2,2347,48,6,delegation,2023-04-12T10:44:42.728Z,2023-12-18T16:19:43.140Z,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
GFXlabs,19242,Better Alerts On Votes Beginning,better-alerts-on-votes-beginning,3,1,413,9,4,governance,2023-10-30T11:06:29.523Z,2023-10-30T14:15:47.137Z,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
