badgeHolder,badgeId,badgeSlug,badgeName,badgeDescription,badgeNumHolders,badgeType
Matt_StableLab,2,member,Member,"<a href=""https://blog.discourse.org/2018/06/understanding-discourse-trust-levels/"">Granted</a> invitations, group messaging, more likes",220,Bronze
Matt_StableLab,15,first-quote,First Quote,Quoted a post,242,Bronze
Matt_StableLab,6,nice-reply,Nice Reply,Received 10 likes on a reply,466,Bronze
Matt_StableLab,12,first-share,First Share,Shared a post,542,Bronze
cattin,42,first-onebox,First Onebox,Posted a link that was oneboxed,417,Bronze
cattin,36,appreciated,Appreciated,Received 1 like on 20 posts,54,Bronze
cattin,21,nice-share,Nice Share,Shared a post with 25 unique visitors,226,Bronze
cattin,41,first-emoji,First Emoji,Used an Emoji in a Post,455,Bronze
cattin,40,first-mention,First Mention,Mentioned a user in a post,373,Bronze
cattin,14,first-link,First Link,Added a link to another topic,147,Bronze
cattin,22,good-share,Good Share,Shared a post with 300 unique visitors,22,Silver
cattin,13,first-flag,First Flag,Flagged a post,100,Bronze
cattin,10,editor,Editor,First post edit,678,Bronze
cattin,1,basic,Basic,"<a href=""https://blog.discourse.org/2018/06/understanding-discourse-trust-levels/"">Granted</a> all essential community functions",4255,Bronze
cattin,45,enthusiast,Enthusiast,Visited 10 consecutive days,268,Bronze
cattin,5,welcome,Welcome,Received a like,2073,Bronze
cattin,18,nice-topic,Nice Topic,Received 10 likes on a topic,164,Bronze
cattin,38,thank-you,Thank You,Has 20 liked posts and gave 10 likes,48,Bronze
cattin,2,member,Member,"<a href=""https://blog.discourse.org/2018/06/understanding-discourse-trust-levels/"">Granted</a> invitations, group messaging, more likes",220,Bronze
cattin,15,first-quote,First Quote,Quoted a post,242,Bronze
cattin,16,read-guidelines,Read Guidelines,"Read the <a href=""/guidelines"">community guidelines</a>",210,Bronze
cattin,6,nice-reply,Nice Reply,Received 10 likes on a reply,466,Bronze
cattin,12,first-share,First Share,Shared a post,542,Bronze
cattin,23,great-share,Great Share,Shared a post with 1000 unique visitors,7,Gold
cattin,11,first-like,First Like,Liked a post,3383,Bronze
krst,42,first-onebox,First Onebox,Posted a link that was oneboxed,417,Bronze
krst,36,appreciated,Appreciated,Received 1 like on 20 posts,54,Bronze
krst,21,nice-share,Nice Share,Shared a post with 25 unique visitors,226,Bronze
krst,41,first-emoji,First Emoji,Used an Emoji in a Post,455,Bronze
krst,40,first-mention,First Mention,Mentioned a user in a post,373,Bronze
krst,14,first-link,First Link,Added a link to another topic,147,Bronze
krst,22,good-share,Good Share,Shared a post with 300 unique visitors,22,Silver
krst,28,popular-link,Popular Link,Posted an external link with 50 clicks,57,Bronze
krst,10,editor,Editor,First post edit,678,Bronze
krst,1,basic,Basic,"<a href=""https://blog.discourse.org/2018/06/understanding-discourse-trust-levels/"">Granted</a> all essential community functions",4255,Bronze
krst,45,enthusiast,Enthusiast,Visited 10 consecutive days,268,Bronze
krst,5,welcome,Welcome,Received a like,2073,Bronze
krst,18,nice-topic,Nice Topic,Received 10 likes on a topic,164,Bronze
krst,2,member,Member,"<a href=""https://blog.discourse.org/2018/06/understanding-discourse-trust-levels/"">Granted</a> invitations, group messaging, more likes",220,Bronze
krst,38,thank-you,Thank You,Has 20 liked posts and gave 10 likes,48,Bronze
krst,15,first-quote,First Quote,Quoted a post,242,Bronze
krst,6,nice-reply,Nice Reply,Received 10 likes on a reply,466,Bronze
krst,12,first-share,First Share,Shared a post,542,Bronze
krst,11,first-like,First Like,Liked a post,3383,Bronze
tnorm,11,first-like,First Like,Liked a post,3383,Bronze
tnorm,19,good-topic,Good Topic,Received 25 likes on a topic,32,Silver
tnorm,42,first-onebox,First Onebox,Posted a link that was oneboxed,417,Bronze
tnorm,36,appreciated,Appreciated,Received 1 like on 20 posts,54,Bronze
tnorm,41,first-emoji,First Emoji,Used an Emoji in a Post,455,Bronze
tnorm,21,nice-share,Nice Share,Shared a post with 25 unique visitors,226,Bronze
tnorm,46,aficionado,Aficionado,Visited 100 consecutive days,4,Silver
tnorm,40,first-mention,First Mention,Mentioned a user in a post,373,Bronze
tnorm,14,first-link,First Link,Added a link to another topic,147,Bronze
tnorm,17,reader,Reader,Read every reply in a topic with more than 100 replies,66,Bronze
tnorm,20,great-topic,Great Topic,Received 50 likes on a topic,10,Gold
tnorm,28,popular-link,Popular Link,Posted an external link with 50 clicks,57,Bronze
tnorm,13,first-flag,First Flag,Flagged a post,100,Bronze
tnorm,10,editor,Editor,First post edit,678,Bronze
tnorm,1,basic,Basic,"<a href=""https://blog.discourse.org/2018/06/understanding-discourse-trust-levels/"">Granted</a> all essential community functions",4255,Bronze
tnorm,45,enthusiast,Enthusiast,Visited 10 consecutive days,268,Bronze
tnorm,5,welcome,Welcome,Received a like,2073,Bronze
tnorm,18,nice-topic,Nice Topic,Received 10 likes on a topic,164,Bronze
tnorm,38,thank-you,Thank You,Has 20 liked posts and gave 10 likes,48,Bronze
tnorm,2,member,Member,"<a href=""https://blog.discourse.org/2018/06/understanding-discourse-trust-levels/"">Granted</a> invitations, group messaging, more likes",220,Bronze
tnorm,15,first-quote,First Quote,Quoted a post,242,Bronze
tnorm,6,nice-reply,Nice Reply,Received 10 likes on a reply,466,Bronze
tnorm,12,first-share,First Share,Shared a post,542,Bronze
stonecoldpat,11,first-like,First Like,Liked a post,3383,Bronze
stonecoldpat,19,good-topic,Good Topic,Received 25 likes on a topic,32,Silver
stonecoldpat,42,first-onebox,First Onebox,Posted a link that was oneboxed,417,Bronze
stonecoldpat,36,appreciated,Appreciated,Received 1 like on 20 posts,54,Bronze
stonecoldpat,4,leader,Leader,"<a href=""https://blog.discourse.org/2018/06/understanding-discourse-trust-levels/"">Granted</a> global edit, pin, close, archive, split and merge, more likes",6,Gold
stonecoldpat,21,nice-share,Nice Share,Shared a post with 25 unique visitors,226,Bronze
stonecoldpat,41,first-emoji,First Emoji,Used an Emoji in a Post,455,Bronze
stonecoldpat,46,aficionado,Aficionado,Visited 100 consecutive days,4,Silver
stonecoldpat,40,first-mention,First Mention,Mentioned a user in a post,373,Bronze
stonecoldpat,14,first-link,First Link,Added a link to another topic,147,Bronze
stonecoldpat,3,regular,Regular,"<a href=""https://blog.discourse.org/2018/06/understanding-discourse-trust-levels/"">Granted</a> recategorize, rename, followed links, wiki, more likes",7,Silver
stonecoldpat,17,reader,Reader,Read every reply in a topic with more than 100 replies,66,Bronze
stonecoldpat,28,popular-link,Popular Link,Posted an external link with 50 clicks,57,Bronze
stonecoldpat,13,first-flag,First Flag,Flagged a post,100,Bronze
stonecoldpat,10,editor,Editor,First post edit,678,Bronze
stonecoldpat,1,basic,Basic,"<a href=""https://blog.discourse.org/2018/06/understanding-discourse-trust-levels/"">Granted</a> all essential community functions",4255,Bronze
stonecoldpat,45,enthusiast,Enthusiast,Visited 10 consecutive days,268,Bronze
stonecoldpat,5,welcome,Welcome,Received a like,2073,Bronze
stonecoldpat,18,nice-topic,Nice Topic,Received 10 likes on a topic,164,Bronze
stonecoldpat,2,member,Member,"<a href=""https://blog.discourse.org/2018/06/understanding-discourse-trust-levels/"">Granted</a> invitations, group messaging, more likes",220,Bronze
stonecoldpat,15,first-quote,First Quote,Quoted a post,242,Bronze
stonecoldpat,6,nice-reply,Nice Reply,Received 10 likes on a reply,466,Bronze
stonecoldpat,12,first-share,First Share,Shared a post,542,Bronze
dk3,42,first-onebox,First Onebox,Posted a link that was oneboxed,417,Bronze
dk3,36,appreciated,Appreciated,Received 1 like on 20 posts,54,Bronze
dk3,21,nice-share,Nice Share,Shared a post with 25 unique visitors,226,Bronze
dk3,41,first-emoji,First Emoji,Used an Emoji in a Post,455,Bronze
dk3,40,first-mention,First Mention,Mentioned a user in a post,373,Bronze
dk3,14,first-link,First Link,Added a link to another topic,147,Bronze
dk3,17,reader,Reader,Read every reply in a topic with more than 100 replies,66,Bronze
dk3,10,editor,Editor,First post edit,678,Bronze
dk3,9,autobiographer,Autobiographer,"Filled out <a href=""/my/preferences/profile"">profile</a> information",289,Bronze
dk3,13,first-flag,First Flag,Flagged a post,100,Bronze
dk3,1,basic,Basic,"<a href=""https://blog.discourse.org/2018/06/understanding-discourse-trust-levels/"">Granted</a> all essential community functions",4255,Bronze
dk3,45,enthusiast,Enthusiast,Visited 10 consecutive days,268,Bronze
dk3,5,welcome,Welcome,Received a like,2073,Bronze
dk3,18,nice-topic,Nice Topic,Received 10 likes on a topic,164,Bronze
dk3,38,thank-you,Thank You,Has 20 liked posts and gave 10 likes,48,Bronze
dk3,2,member,Member,"<a href=""https://blog.discourse.org/2018/06/understanding-discourse-trust-levels/"">Granted</a> invitations, group messaging, more likes",220,Bronze
dk3,16,read-guidelines,Read Guidelines,"Read the <a href=""/guidelines"">community guidelines</a>",210,Bronze
dk3,15,first-quote,First Quote,Quoted a post,242,Bronze
dk3,6,nice-reply,Nice Reply,Received 10 likes on a reply,466,Bronze
dk3,12,first-share,First Share,Shared a post,542,Bronze
dk3,11,first-like,First Like,Liked a post,3383,Bronze
Welly,1,basic,Basic,"<a href=""https://blog.discourse.org/2018/06/understanding-discourse-trust-levels/"">Granted</a> all essential community functions",4255,Bronze
Welly,5,welcome,Welcome,Received a like,2073,Bronze
Welly,6,nice-reply,Nice Reply,Received 10 likes on a reply,466,Bronze
Welly,11,first-like,First Like,Liked a post,3383,Bronze
Welly,18,nice-topic,Nice Topic,Received 10 likes on a topic,164,Bronze
Welly,19,good-topic,Good Topic,Received 25 likes on a topic,32,Silver
Welly,20,great-topic,Great Topic,Received 50 likes on a topic,10,Gold
BlockworksResearch,36,appreciated,Appreciated,Received 1 like on 20 posts,54,Bronze
BlockworksResearch,21,nice-share,Nice Share,Shared a post with 25 unique visitors,226,Bronze
BlockworksResearch,40,first-mention,First Mention,Mentioned a user in a post,373,Bronze
BlockworksResearch,14,first-link,First Link,Added a link to another topic,147,Bronze
BlockworksResearch,22,good-share,Good Share,Shared a post with 300 unique visitors,22,Silver
BlockworksResearch,9,autobiographer,Autobiographer,"Filled out <a href=""/my/preferences/profile"">profile</a> information",289,Bronze
BlockworksResearch,10,editor,Editor,First post edit,678,Bronze
BlockworksResearch,7,good-reply,Good Reply,Received 25 likes on a reply,37,Silver
BlockworksResearch,1,basic,Basic,"<a href=""https://blog.discourse.org/2018/06/understanding-discourse-trust-levels/"">Granted</a> all essential community functions",4255,Bronze
BlockworksResearch,5,welcome,Welcome,Received a like,2073,Bronze
BlockworksResearch,18,nice-topic,Nice Topic,Received 10 likes on a topic,164,Bronze
BlockworksResearch,38,thank-you,Thank You,Has 20 liked posts and gave 10 likes,48,Bronze
BlockworksResearch,2,member,Member,"<a href=""https://blog.discourse.org/2018/06/understanding-discourse-trust-levels/"">Granted</a> invitations, group messaging, more likes",220,Bronze
BlockworksResearch,6,nice-reply,Nice Reply,Received 10 likes on a reply,466,Bronze
BlockworksResearch,12,first-share,First Share,Shared a post,542,Bronze
BlockworksResearch,23,great-share,Great Share,Shared a post with 1000 unique visitors,7,Gold
BlockworksResearch,11,first-like,First Like,Liked a post,3383,Bronze
Saurabh,11,first-like,First Like,Liked a post,3383,Bronze
Saurabh,19,good-topic,Good Topic,Received 25 likes on a topic,32,Silver
Saurabh,36,appreciated,Appreciated,Received 1 like on 20 posts,54,Bronze
Saurabh,41,first-emoji,First Emoji,Used an Emoji in a Post,455,Bronze
Saurabh,21,nice-share,Nice Share,Shared a post with 25 unique visitors,226,Bronze
Saurabh,40,first-mention,First Mention,Mentioned a user in a post,373,Bronze
Saurabh,14,first-link,First Link,Added a link to another topic,147,Bronze
Saurabh,28,popular-link,Popular Link,Posted an external link with 50 clicks,57,Bronze
Saurabh,10,editor,Editor,First post edit,678,Bronze
Saurabh,1,basic,Basic,"<a href=""https://blog.discourse.org/2018/06/understanding-discourse-trust-levels/"">Granted</a> all essential community functions",4255,Bronze
Saurabh,5,welcome,Welcome,Received a like,2073,Bronze
Saurabh,45,enthusiast,Enthusiast,Visited 10 consecutive days,268,Bronze
Saurabh,18,nice-topic,Nice Topic,Received 10 likes on a topic,164,Bronze
Saurabh,38,thank-you,Thank You,Has 20 liked posts and gave 10 likes,48,Bronze
Saurabh,2,member,Member,"<a href=""https://blog.discourse.org/2018/06/understanding-discourse-trust-levels/"">Granted</a> invitations, group messaging, more likes",220,Bronze
Saurabh,15,first-quote,First Quote,Quoted a post,242,Bronze
Saurabh,6,nice-reply,Nice Reply,Received 10 likes on a reply,466,Bronze
Saurabh,12,first-share,First Share,Shared a post,542,Bronze
jengajojo,42,first-onebox,First Onebox,Posted a link that was oneboxed,417,Bronze
jengajojo,36,appreciated,Appreciated,Received 1 like on 20 posts,54,Bronze
jengajojo,41,first-emoji,First Emoji,Used an Emoji in a Post,455,Bronze
jengajojo,40,first-mention,First Mention,Mentioned a user in a post,373,Bronze
jengajojo,14,first-link,First Link,Added a link to another topic,147,Bronze
jengajojo,10,editor,Editor,First post edit,678,Bronze
jengajojo,1,basic,Basic,"<a href=""https://blog.discourse.org/2018/06/understanding-discourse-trust-levels/"">Granted</a> all essential community functions",4255,Bronze
jengajojo,5,welcome,Welcome,Received a like,2073,Bronze
jengajojo,18,nice-topic,Nice Topic,Received 10 likes on a topic,164,Bronze
jengajojo,38,thank-you,Thank You,Has 20 liked posts and gave 10 likes,48,Bronze
jengajojo,2,member,Member,"<a href=""https://blog.discourse.org/2018/06/understanding-discourse-trust-levels/"">Granted</a> invitations, group messaging, more likes",220,Bronze
jengajojo,15,first-quote,First Quote,Quoted a post,242,Bronze
jengajojo,6,nice-reply,Nice Reply,Received 10 likes on a reply,466,Bronze
jengajojo,12,first-share,First Share,Shared a post,542,Bronze
jengajojo,11,first-like,First Like,Liked a post,3383,Bronze
Frisson,11,first-like,First Like,Liked a post,3383,Bronze
Frisson,19,good-topic,Good Topic,Received 25 likes on a topic,32,Silver
Frisson,36,appreciated,Appreciated,Received 1 like on 20 posts,54,Bronze
Frisson,21,nice-share,Nice Share,Shared a post with 25 unique visitors,226,Bronze
Frisson,40,first-mention,First Mention,Mentioned a user in a post,373,Bronze
Frisson,28,popular-link,Popular Link,Posted an external link with 50 clicks,57,Bronze
Frisson,10,editor,Editor,First post edit,678,Bronze
Frisson,9,autobiographer,Autobiographer,"Filled out <a href=""/my/preferences/profile"">profile</a> information",289,Bronze
Frisson,1,basic,Basic,"<a href=""https://blog.discourse.org/2018/06/understanding-discourse-trust-levels/"">Granted</a> all essential community functions",4255,Bronze
Frisson,5,welcome,Welcome,Received a like,2073,Bronze
Frisson,18,nice-topic,Nice Topic,Received 10 likes on a topic,164,Bronze
Frisson,38,thank-you,Thank You,Has 20 liked posts and gave 10 likes,48,Bronze
Frisson,2,member,Member,"<a href=""https://blog.discourse.org/2018/06/understanding-discourse-trust-levels/"">Granted</a> invitations, group messaging, more likes",220,Bronze
Frisson,15,first-quote,First Quote,Quoted a post,242,Bronze
Frisson,6,nice-reply,Nice Reply,Received 10 likes on a reply,466,Bronze
Frisson,12,first-share,First Share,Shared a post,542,Bronze
Dog,36,appreciated,Appreciated,Received 1 like on 20 posts,54,Bronze
Dog,41,first-emoji,First Emoji,Used an Emoji in a Post,455,Bronze
Dog,40,first-mention,First Mention,Mentioned a user in a post,373,Bronze
Dog,17,reader,Reader,Read every reply in a topic with more than 100 replies,66,Bronze
Dog,7,good-reply,Good Reply,Received 25 likes on a reply,37,Silver
Dog,13,first-flag,First Flag,Flagged a post,100,Bronze
Dog,10,editor,Editor,First post edit,678,Bronze
Dog,9,autobiographer,Autobiographer,"Filled out <a href=""/my/preferences/profile"">profile</a> information",289,Bronze
Dog,1,basic,Basic,"<a href=""https://blog.discourse.org/2018/06/understanding-discourse-trust-levels/"">Granted</a> all essential community functions",4255,Bronze
Dog,45,enthusiast,Enthusiast,Visited 10 consecutive days,268,Bronze
Dog,5,welcome,Welcome,Received a like,2073,Bronze
Dog,38,thank-you,Thank You,Has 20 liked posts and gave 10 likes,48,Bronze
Dog,2,member,Member,"<a href=""https://blog.discourse.org/2018/06/understanding-discourse-trust-levels/"">Granted</a> invitations, group messaging, more likes",220,Bronze
Dog,15,first-quote,First Quote,Quoted a post,242,Bronze
Dog,6,nice-reply,Nice Reply,Received 10 likes on a reply,466,Bronze
Dog,12,first-share,First Share,Shared a post,542,Bronze
Dog,11,first-like,First Like,Liked a post,3383,Bronze
CastleCapital,1,basic,Basic,"<a href=""https://blog.discourse.org/2018/06/understanding-discourse-trust-levels/"">Granted</a> all essential community functions",4255,Bronze
CastleCapital,2,member,Member,"<a href=""https://blog.discourse.org/2018/06/understanding-discourse-trust-levels/"">Granted</a> invitations, group messaging, more likes",220,Bronze
CastleCapital,5,welcome,Welcome,Received a like,2073,Bronze
CastleCapital,6,nice-reply,Nice Reply,Received 10 likes on a reply,466,Bronze
CastleCapital,10,editor,Editor,First post edit,678,Bronze
CastleCapital,11,first-like,First Like,Liked a post,3383,Bronze
CastleCapital,12,first-share,First Share,Shared a post,542,Bronze
CastleCapital,15,first-quote,First Quote,Quoted a post,242,Bronze
CastleCapital,36,appreciated,Appreciated,Received 1 like on 20 posts,54,Bronze
CastleCapital,38,thank-you,Thank You,Has 20 liked posts and gave 10 likes,48,Bronze
CastleCapital,40,first-mention,First Mention,Mentioned a user in a post,373,Bronze
meyaf320219,1,basic,Basic,"<a href=""https://blog.discourse.org/2018/06/understanding-discourse-trust-levels/"">Granted</a> all essential community functions",4255,Bronze
meyaf320219,5,welcome,Welcome,Received a like,2073,Bronze
meyaf320219,6,nice-reply,Nice Reply,Received 10 likes on a reply,466,Bronze
meyaf320219,10,editor,Editor,First post edit,678,Bronze
meyaf320219,11,first-like,First Like,Liked a post,3383,Bronze
meyaf320219,12,first-share,First Share,Shared a post,542,Bronze
meyaf320219,13,first-flag,First Flag,Flagged a post,100,Bronze
meyaf320219,15,first-quote,First Quote,Quoted a post,242,Bronze
meyaf320219,36,appreciated,Appreciated,Received 1 like on 20 posts,54,Bronze
meyaf320219,38,thank-you,Thank You,Has 20 liked posts and gave 10 likes,48,Bronze
meyaf320219,40,first-mention,First Mention,Mentioned a user in a post,373,Bronze
meyaf320219,42,first-onebox,First Onebox,Posted a link that was oneboxed,417,Bronze
coinflip,11,first-like,First Like,Liked a post,3383,Bronze
coinflip,19,good-topic,Good Topic,Received 25 likes on a topic,32,Silver
coinflip,41,first-emoji,First Emoji,Used an Emoji in a Post,455,Bronze
coinflip,21,nice-share,Nice Share,Shared a post with 25 unique visitors,226,Bronze
coinflip,40,first-mention,First Mention,Mentioned a user in a post,373,Bronze
coinflip,14,first-link,First Link,Added a link to another topic,147,Bronze
coinflip,17,reader,Reader,Read every reply in a topic with more than 100 replies,66,Bronze
coinflip,20,great-topic,Great Topic,Received 50 likes on a topic,10,Gold
coinflip,9,autobiographer,Autobiographer,"Filled out <a href=""/my/preferences/profile"">profile</a> information",289,Bronze
coinflip,10,editor,Editor,First post edit,678,Bronze
coinflip,13,first-flag,First Flag,Flagged a post,100,Bronze
coinflip,1,basic,Basic,"<a href=""https://blog.discourse.org/2018/06/understanding-discourse-trust-levels/"">Granted</a> all essential community functions",4255,Bronze
coinflip,45,enthusiast,Enthusiast,Visited 10 consecutive days,268,Bronze
coinflip,5,welcome,Welcome,Received a like,2073,Bronze
coinflip,18,nice-topic,Nice Topic,Received 10 likes on a topic,164,Bronze
coinflip,2,member,Member,"<a href=""https://blog.discourse.org/2018/06/understanding-discourse-trust-levels/"">Granted</a> invitations, group messaging, more likes",220,Bronze
coinflip,15,first-quote,First Quote,Quoted a post,242,Bronze
coinflip,16,read-guidelines,Read Guidelines,"Read the <a href=""/guidelines"">community guidelines</a>",210,Bronze
coinflip,6,nice-reply,Nice Reply,Received 10 likes on a reply,466,Bronze
coinflip,12,first-share,First Share,Shared a post,542,Bronze
ITUblockchain,36,appreciated,Appreciated,Received 1 like on 20 posts,54,Bronze
ITUblockchain,21,nice-share,Nice Share,Shared a post with 25 unique visitors,226,Bronze
ITUblockchain,41,first-emoji,First Emoji,Used an Emoji in a Post,455,Bronze
ITUblockchain,40,first-mention,First Mention,Mentioned a user in a post,373,Bronze
ITUblockchain,14,first-link,First Link,Added a link to another topic,147,Bronze
ITUblockchain,13,first-flag,First Flag,Flagged a post,100,Bronze
ITUblockchain,10,editor,Editor,First post edit,678,Bronze
ITUblockchain,9,autobiographer,Autobiographer,"Filled out <a href=""/my/preferences/profile"">profile</a> information",289,Bronze
ITUblockchain,1,basic,Basic,"<a href=""https://blog.discourse.org/2018/06/understanding-discourse-trust-levels/"">Granted</a> all essential community functions",4255,Bronze
ITUblockchain,5,welcome,Welcome,Received a like,2073,Bronze
ITUblockchain,18,nice-topic,Nice Topic,Received 10 likes on a topic,164,Bronze
ITUblockchain,38,thank-you,Thank You,Has 20 liked posts and gave 10 likes,48,Bronze
ITUblockchain,2,member,Member,"<a href=""https://blog.discourse.org/2018/06/understanding-discourse-trust-levels/"">Granted</a> invitations, group messaging, more likes",220,Bronze
ITUblockchain,15,first-quote,First Quote,Quoted a post,242,Bronze
ITUblockchain,6,nice-reply,Nice Reply,Received 10 likes on a reply,466,Bronze
ITUblockchain,12,first-share,First Share,Shared a post,542,Bronze
ITUblockchain,11,first-like,First Like,Liked a post,3383,Bronze
Oxytocin,42,first-onebox,First Onebox,Posted a link that was oneboxed,417,Bronze
Oxytocin,29,hot-link,Hot Link,Posted an external link with 300 clicks,3,Silver
Oxytocin,21,nice-share,Nice Share,Shared a post with 25 unique visitors,226,Bronze
Oxytocin,41,first-emoji,First Emoji,Used an Emoji in a Post,455,Bronze
Oxytocin,40,first-mention,First Mention,Mentioned a user in a post,373,Bronze
Oxytocin,14,first-link,First Link,Added a link to another topic,147,Bronze
Oxytocin,28,popular-link,Popular Link,Posted an external link with 50 clicks,57,Bronze
